gene_selected;gene_evaluated;corr;pvalue;rank;is_on_pathway
DICER1;TMEM263;-0,109278224;2,729106087;462;0
DICER1;MTHFD2L;-0,109206621;2,726091303;463;0
DICER1;STX1B;-0,109094453;2,721372017;464;0
DICER1;MYH1;0,109008612;2,717763305;465;0
DICER1;FGFR1OP2;0,108971407;2,716200024;466;0
DICER1;WBP1;-0,108926776;2,714325292;467;0
DICER1;B3GNT3;-0,108861932;2,711602735;468;0
DICER1;OTUD6A;-0,110153638;2,711293531;469;0
DICER1;CEP19;0,108838972;2,710639084;470;0
DICER1;NAGS;-0,108726186;2,705907916;471;0
DICER1;SPHAR;-0,108690045;2,704392772;472;0
DICER1;TAF5L;0,109478783;2,703347661;473;0
DICER1;TLL2;-0,108618971;2,701414383;474;0
DICER1;OR5B2;-0,108553842;2,698686662;475;0
DICER1;PPCS;0,108538954;2,698063358;476;0
DICER1;MCTP2;0,108493622;2,696165832;477;0
DICER1;CHORDC1;-0,108425701;2,693324081;478;0
DICER1;WDR45;-0,109716894;2,693207329;479;0
DICER1;MTOR;0,108268051;2,686734235;480;0
DICER1;LCE4A;-0,108064134;2,678222819;481;0
DICER1;MED13;0,108864137;2,677840972;482;0
DICER1;SLC25A28;-0,108035886;2,67704488;483;0
DICER1;PLSCR4;0,108026804;2,676666206;484;0
DICER1;POP4;0,107918926;2,67217051;485;0
DICER1;VSIG1;-0,109203042;2,672008872;486;0
DICER1;ATRX;0,1099485;2,67112443;487;0
DICER1;TMPO;-0,107852559;2,66940668;488;0
DICER1;SGK1;0,107839321;2,66885559;489;0
DICER1;NR2F1;0,107779043;2,666346913;490;0
DICER1;RHAG;0,10772311;2,664020155;491;0
DICER1;STAT6;-0,107700023;2,663060034;492;0
DICER1;JAG1;0,107616645;2,65959425;493;0
DICER1;HIRIP3;-0,107563224;2,657374905;494;0
DICER1;NAT1;-0,107482807;2,654035843;495;0
DICER1;ZSCAN22;0,107406007;2,650848984;496;0
DICER1;PCDHB16;0,107365194;2,649156285;497;0
DICER1;ORMDL2;-0,107302495;2,646556921;498;0
DICER1;HYOU1;0,107170677;2,641096374;499;0
DICER1;BTG1;-0,107070626;2,636955662;500;0
